Date,Marino,Coleraine St.,Phoenix Park,Wood Quay,Rathmines
11-Jul-12,3.1,3.4,6.1,6.5,6.3
12-Jul-12,3.2,4.9,8.2,9.3,9.2
13-Jul-12,5.8,8.4,12.7,12.6,16.7
14-Jul-12,,3.6,7.4,8.6,8.4
15-Jul-12,4.3,2.5,6,6.5,6.8
16-Jul-12,5.6,3.5,5.2,0.4,4.7
17-Jul-12,4.6,3.6,4.6,7.9,4.9
18-Jul-12,2.2,3.8,5.5,8.3,6.2
19-Jul-12,4.4,4.1,6.8,3.9,7.4
20-Jul-12,3.8,5.2,16.6,5.7,9.8
21-Jul-12,6.5,7.4,7.9,13.6,8.1
22-Jul-12,3.1,3,5.4,3.9,3.7
23-Jul-12,0.8,4.2,4.8,5.8,5.7
24-Jul-12,3.1,5.2,3.3,5.1,6.4
25-Jul-12,4.4,6.6,8,7.8,9.5
26-Jul-12,6.1,7.8,8.7,10.1,11.7
27-Jul-12,5.6,4,7.3,,9.4
28-Jul-12,3.9,3.6,5,7.1,8.4
29-Jul-12,2.5,3.3,5.6,6.2,7.7
30-Jul-12,5.3,4.5,6.6,7.4,7.2
31-Jul-12,6.1,5.1,5.9,9.9,6
01-Aug-12,5.3,4.4,7.4,10,6.8
02-Aug-12,5.7,6,10.3,13.1,11.7
03-Aug-12,10.4,6.5,8.1,7.6,10.1
04-Aug-12,5.7,7.1,14.2,13.7,15.3
05-Aug-12,8.6,7.8,8.6,8.2,11.1
06-Aug-12,5.4,3,3.7,0.1,2.8
07-Aug-12,4.4,6.1,8.4,4.7,6.6
08-Aug-12,10.3,10.9,9.9,12.9,10.1
09-Aug-12,6.2,10.8,7.6,11.9,6.4
10-Aug-12,6,10.5,10,13.5,11.5
11-Aug-12,14.2,14.4,23.6,20.3,24.5
12-Aug-12,8.1,9.6,17.8,15.4,15.6
13-Aug-12,4.4,3.8,5.2,6.4,6.2
14-Aug-12,6,5.4,7.6,8.1,7
15-Aug-12,7.6,7.2,16.5,18.2,19.2
16-Aug-12,5.8,7.1,9.4,12.2,12.4
17-Aug-12,4,3.9,3,8.3,7.3
18-Aug-12,3.7,3.9,6,1.8,6.8
19-Aug-12,4.4,4.2,8.6,6,9.9
20-Aug-12,4.6,5.1,8.5,6.7,9.5
21-Aug-12,4.7,,6.4,9.2,6.7
22-Aug-12,3.6,,6.9,13.5,8.5
23-Aug-12,5.8,6,6.8,8.3,9.2
24-Aug-12,7.4,6.3,9.2,9.9,10.9
25-Aug-12,2.5,7.2,7.8,8.5,9.4
26-Aug-12,3.9,6,6.9,8.9,8.9
27-Aug-12,3.2,3.7,5.7,6.1,6.6
